genes,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
CTSV,168.1750129,1.261868697,0.197229454,6.397972859,1.57E-10,2.55E-08
ANLN,615.7868966,0.922401185,0.173961666,5.302324393,1.14E-07,6.15E-06
ARNTL2,249.6853633,0.725112376,0.140353675,5.166322686,2.39E-07,1.13E-05
E2F7,70.36324994,0.907932993,0.180009239,5.043813299,4.56E-07,1.93E-05
HES2,87.73676638,1.24322125,0.254193632,4.890843412,1.00E-06,3.65E-05
CKAP2L,84.39572203,0.743719526,0.15250393,4.876723673,1.08E-06,3.88E-05
TLE2,719.5479557,-0.588886145,0.121049383,-4.864842188,1.15E-06,4.08E-05
ECT2,774.087882,0.593932705,0.12807179,4.63749826,3.53E-06,0.000101724
NAA50,2287.895992,0.273417271,0.059324718,4.608825437,4.05E-06,0.00011362
FAM111B,129.4700411,0.596628738,0.130723388,4.564055037,5.02E-06,0.000135041
SMC4,1044.441821,0.353589554,0.077618231,4.55549618,5.23E-06,0.000139642
CEP55,301.8119409,0.692196046,0.153544485,4.508114014,6.54E-06,0.000168201
KIF20B,204.3707706,0.490376661,0.109399315,4.482447291,7.38E-06,0.000184131
MRPL3,1386.359047,0.224243071,0.050957704,4.40057251,1.08E-05,0.000246151
KIAA1524,121.2889069,0.512621783,0.116520932,4.399396521,1.09E-05,0.00024688
KIF14,98.75092991,0.68028265,0.155992199,4.361004298,1.29E-05,0.000286003
NRIP2,102.63653,-0.428218479,0.09930085,-4.312334463,1.62E-05,0.000342139
PSMD11,1085.065481,0.248640386,0.058608417,4.242400685,2.21E-05,0.00044014
NDC1,240.7048988,0.411206097,0.097287988,4.226689313,2.37E-05,0.00046353
NT5E,1334.887738,0.678575213,0.160930973,4.216560668,2.48E-05,0.000479265
INCENP,321.6530209,0.337136104,0.081322927,4.145646474,3.39E-05,0.000612834
PRC1,598.582592,0.509625765,0.12470808,4.086549687,4.38E-05,0.000750982
ERGIC2,637.2436022,0.269968507,0.067040245,4.026961831,5.65E-05,0.00092062
CENPE,173.7977354,0.547159211,0.136732927,4.001663834,6.29E-05,0.001001719
FLJ10517,273.9142728,0.617961349,0.155500231,3.974022063,7.07E-05,0.001093448
INTS13,448.486661,0.256706245,0.065239269,3.934842425,8.33E-05,0.001236399
BM037,423.1800308,0.492280667,0.125688191,3.916681918,8.98E-05,0.001305499
TOP2A,1111.209752,0.58179208,0.14860696,3.914971946,9.04E-05,0.001313251
NEK2,190.8529562,0.632445857,0.161712364,3.910930747,9.19E-05,0.001330197
PRR11,47.23797315,0.765147116,0.197370472,3.876705114,0.000105881,0.001487638
MCM4,770.5855519,0.440171512,0.114148496,3.856130635,0.000115196,0.001596681
HJURP,199.5534847,0.607738568,0.157720683,3.853258524,0.000116556,0.001608302
KIF23,230.4298861,0.560760843,0.146445842,3.829134605,0.000128595,0.001738096
POLQ,74.86901263,0.566608691,0.149253611,3.796281282,0.000146883,0.001930251
DEPDC1B,112.7080511,0.65054936,0.171526333,3.792708372,0.000149013,0.001951312
FBXO45,418.8261574,0.206496207,0.054748501,3.771723511,0.000162124,0.002096273
MRPS22,462.8475316,0.204251166,0.054437421,3.752036079,0.000175404,0.002223291
TGFBI,7770.366284,0.674909454,0.180020553,3.749068889,0.000177492,0.002235581
KIF11,346.7842278,0.458078747,0.122841516,3.72902226,0.000192224,0.002372647
KIF18A,74.63031453,0.59510865,0.160770314,3.701607816,0.000214238,0.002580621
TFG,2273.715835,0.22120388,0.059889689,3.693521911,0.000221169,0.002644965
CASC5,101.1765515,0.60033373,0.163160364,3.679409107,0.000233775,0.002761981
PLK4,102.3208793,0.429403988,0.117434378,3.656544147,0.000255638,0.002954221
CENPI,24.19189633,0.605564494,0.165957502,3.648913041,0.000263352,0.003021155
MSH2,442.2515239,0.248117302,0.068366162,3.629241357,0.000284255,0.003187315
ARHGAP11A,263.2101675,0.415432928,0.115251817,3.60456728,0.000312673,0.003422932
SGOL2,113.3835672,0.366553502,0.101824129,3.599868762,0.000318378,0.003470994
GSPT1,2590.227575,0.1960824,0.054529942,3.595866673,0.000323313,0.003512376
DIAPH3,107.8233225,0.546508746,0.152471905,3.584324239,0.000337952,0.003636876
RAB7A,5549.722741,0.148447422,0.041629867,3.565887524,0.000362627,0.003839441
HMMR,169.2451148,0.524996803,0.147383006,3.562125759,0.000367864,0.003884527
NCBP2,1504.269702,0.150672236,0.042332333,3.559270762,0.000371886,0.003909137
UMPS,533.3237053,0.192834323,0.054419994,3.543446209,0.000394934,0.004086361
FAM83D,273.0496071,0.682047818,0.193508136,3.524646726,0.000424048,0.004317536
AURKA,254.1421866,0.477659668,0.136265472,3.505360989,0.000455989,0.004532918
KIF20A,231.1396955,0.534120073,0.153094427,3.48882767,0.000485144,0.004743685
BUB1B,192.8294191,0.476952402,0.136756103,3.487613276,0.000487352,0.004755222
ARF6,3457.604842,0.216980283,0.062244647,3.485926827,0.000490435,0.004773448
HMGA2,271.874633,1.013678752,0.291022585,3.483161798,0.000495529,0.004809621
STIL,179.4028656,0.402676406,0.11619416,3.465547719,0.000529153,0.005054036
BRIP1,39.89009221,0.5455024,0.158486413,3.441950574,0.000577536,0.005363454
SGOL1,41.67225106,0.528003735,0.153485664,3.440085027,0.000581531,0.005383104
ARHGAP11B,20.18672343,0.502212241,0.146385278,3.430756482,0.000601901,0.005512206
CCNA2,287.6809264,0.43659548,0.127411084,3.426667968,0.000611036,0.00557653
WHAMMP3,74.73707697,-0.319655336,0.093473568,-3.419740376,0.000626809,0.005667337
ZW10,372.8146005,0.168742032,0.049375235,3.417543897,0.000631889,0.005696552
GART,1140.595385,0.216478712,0.063544906,3.406704388,0.000657523,0.005896023
CENPA,67.21707154,0.550564902,0.161939169,3.39982542,0.000674289,0.006025907
LYPLA1,1070.806954,0.288434981,0.085075307,3.390349005,0.000698037,0.006178412
BUB1,238.6926301,0.502243757,0.148415406,3.384040595,0.000714274,0.006289016
DEPDC1,98.7439564,0.568150463,0.168318047,3.375457794,0.00073693,0.00643335
CDC20,432.754518,0.582336589,0.173459693,3.357186786,0.000787399,0.006771631
UHRF1,187.7501302,0.478757546,0.142767819,3.353399582,0.000798254,0.006836365
DLGAP5,202.1806443,0.556006673,0.166427215,3.340839865,0.000835254,0.007082686
DDIAS,56.89050094,0.432340201,0.13013907,3.322139939,0.000893299,0.007470418
PLK1,410.7192864,0.477682974,0.14473484,3.300400746,0.000965469,0.007937534
RAI2,526.8941518,-0.407262874,0.123516921,-3.297223341,0.000976458,0.008006524
ZSCAN26,226.4955352,-0.211752277,0.064443279,-3.285870623,0.001016677,0.008261701
MASTL,243.5528132,0.222439696,0.067759636,3.282775821,0.001027904,0.008314059
TPX2,715.6785133,0.516318793,0.157817758,3.271614031,0.001069355,0.008585482
OIP5,43.25258773,0.524658636,0.160812967,3.262539382,0.001104188,0.008762421
RAD51,113.1550902,0.461194048,0.141475548,3.259885227,0.001114573,0.008829673
DM2,6052.894055,0.138982893,0.042888652,3.240551652,0.001192987,0.009268202
KNSTRN,199.3318924,0.309411733,0.095480253,3.240583524,0.001192853,0.009268202
NOLC1,2102.360152,0.218586489,0.067777469,3.225061268,0.001259457,0.009654794
MKI67,1366.91161,0.493569989,0.153976572,3.205487574,0.001348339,0.010146839
MTBP,55.7706351,0.377405255,0.117838185,3.20274158,0.001361261,0.010227432
CDCA8,266.8825213,0.465399008,0.145603895,3.196336251,0.001391848,0.010377125
CDC6,236.5402943,0.451231878,0.141399347,3.191187841,0.001416891,0.010525641
EXO1,76.7203707,0.478837201,0.150706305,3.177287122,0.001486598,0.010929654
WHAMMP2,37.41376859,-0.357364119,0.113338797,-3.15306082,0.001615681,0.011667059
NUP37,292.8919294,0.211720886,0.067194067,3.150886603,0.001627757,0.011720102
CLSPN,51.43965164,0.536242617,0.17043855,3.146251928,0.001653775,0.011875067
DNTTIP2,1217.111892,0.142839164,0.045513194,3.138412191,0.001698658,0.012103349
NUF2,125.4764908,0.452996324,0.14462427,3.132228937,0.001734845,0.012323201
CCNE2,62.12437179,0.365301511,0.116988943,3.12253023,0.001793037,0.012615393
ZWILCH,290.1048881,0.262535444,0.084538742,3.105504507,0.001899547,0.013213931
CENPO,84.54031508,0.258763203,0.083466315,3.100211166,0.001933827,0.013322081
TOPBP1,639.2139666,0.183162811,0.05920127,3.093900024,0.00197544,0.013553207
CCDC58,171.2240458,0.261982121,0.084730612,3.091941794,0.001988518,0.013623631
SYAP1,1070.460295,0.175930377,0.057004281,3.086266076,0.002026874,0.013788408
NIP7,594.0999942,0.195906006,0.063779522,3.071612951,0.002129056,0.014283833
CCNB1,508.4077808,0.385299475,0.125603028,3.067597017,0.002157874,0.014393611
CDCA2,77.81309112,0.471394925,0.154648377,3.048172471,0.002302377,0.015080205
LMNB1,633.159841,0.309593986,0.101624459,3.046451506,0.002315598,0.015129121
PSMD2,3860.593558,0.189606337,0.062355534,3.040729913,0.002360054,0.015284555
PRMT3,257.5319973,0.18968771,0.062561388,3.032025287,0.002429189,0.015622851
S100A2,1988.407843,1.106206832,0.365372267,3.027615756,0.002464913,0.015803134
NEIL3,23.85041125,0.461371662,0.15293005,3.016880351,0.002553906,0.016166286
CKS2,367.4269677,0.410470101,0.136520454,3.006656438,0.002641381,0.01658938
CIT,276.3144777,0.358073135,0.11971443,2.991060767,0.002780102,0.017249691
